gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value,partition_assignment
ENSG00000143924,EML4,1,0.1579530065166769,1.3258467002898726,0.6013571225206416,0.262660905810183,0.04820148076389232,6.0388125325511076e-74,2.4197038712929685e-68,Naive/MemT
ENSG00000152518,ZFP36L2,1,0.19921139941844332,7.409221474086024,0.9089873778115213,0.21915749798205653,0.09332807561662931,7.777834419176771e-142,3.1165160290887787e-136,Naive/MemT
ENSG00000172005,MAL,1,0.2798120542682433,0.5432566519965363,0.4266869127835247,0.6557783843025978,0.11665646991796721,4.362082539771235e-177,1.7478515770260157e-171,Naive/MemT
ENSG00000168685,IL7R,1,0.1901373258874811,1.8651120868577244,0.7053240960425169,0.26957440835258184,0.1493686732128457,1.0316827232078042e-226,4.133870137275815e-221,Naive/MemT
ENSG00000152495,CAMK4,1,0.20426127700404653,0.725166977228738,0.4788364809718136,0.42657835215372875,0.09886430193987772,3.430378228944559e-150,1.3745251133122532e-144,Naive/MemT
ENSG00000227507,LTB,1,0.20164085840467322,3.9145477193603893,0.8184018221505173,0.24638368701919655,0.13022853772638163,1.1976090296847309e-197,4.798723573224342e-192,Naive/MemT
ENSG00000156508,EEF1A1,1,0.15651593792497728,56.53652725250618,0.9703426022587074,0.16129966628348436,0.033725958942754757,3.110668852313532e-52,1.2464201237712137e-46,Naive/MemT
ENSG00000118503,TNFAIP3,1,0.1933253134994478,2.50441941202199,0.6964506026383221,0.27758654062051935,0.0757004715354456,2.8481772682173976e-115,1.1412418459565655e-109,Naive/MemT
ENSG00000133872,SARAF,1,0.21865640098411152,5.826453665783524,0.9192844263072981,0.23785500409534743,0.10281950237622686,3.648693283211267e-156,1.462002209036489e-150,Naive/MemT
ENSG00000104660,LEPROTL1,1,0.21857214670011865,1.8104046682273507,0.7400113884407327,0.2953632202345816,0.09727152291088305,8.707110245223317e-148,3.488869418379021e-142,Naive/MemT
ENSG00000185885,IFITM1,1,0.16308825056373955,4.5841119192907005,0.8425073550346398,0.19357486862181061,0.10452044780555055,9.825389300572851e-159,3.936954889625137e-153,Naive/MemT
ENSG00000013725,CD6,1,0.16852564461091307,0.9047632699825762,0.5106292113504792,0.33003526015522555,0.07826435832540675,3.9327355021697566e-119,1.575815653835404e-113,Naive/MemT
ENSG00000168066,SF1,1,0.153102824834834,1.9926287896801342,0.7809148714055234,0.19605571675088362,0.03573103062709006,3.0651620003532384e-55,1.2281858922455398e-49,Naive/MemT
ENSG00000251562,MALAT1,1,0.19243179287542084,108.76689913036525,0.9998101926544557,0.19246832477724818,0.15122776928824005,1.5352375063564171e-229,6.151573868969655e-224,Naive/MemT
ENSG00000198851,CD3E,1,0.1812262871733006,2.236642854723586,0.7788269906045364,0.2326913285743092,0.13378911362518897,4.759356673355625e-203,1.907036144160212e-197,Naive/MemT
ENSG00000107742,SPOCK2,1,0.22003294108235977,1.8384221309606503,0.7176615735028946,0.306597077517168,0.1196610584841445,1.2336997904756847e-181,4.9433363644528304e-176,Naive/MemT
ENSG00000133639,BTG1,1,0.18613753400856597,6.468253072194148,0.9468539432476036,0.1965852656959266,0.12119151425468518,5.937383769971993e-184,2.3790621775576178e-178,Naive/MemT
ENSG00000133112,TPT1,1,0.15964726933639353,21.80600349890114,0.9286324380753536,0.17191653316275712,0.01866956231902095,1.1840464225287723e-29,4.744379291358988e-24,Naive/MemT
ENSG00000126353,CCR7,1,0.15798224785125894,0.660423516283749,0.41221410268577396,0.3832528941196536,0.0738527379490306,1.7199684210715228e-112,6.891775865759906e-107,Naive/MemT
ENSG00000171223,JUNB,1,0.1583988919798909,8.187334759847339,0.8776217139603303,0.18048652336221793,0.0557140665087243,3.1842857678353636e-85,1.2759178328854876e-79,Naive/MemT
ENSG00000090554,FLT3LG,1,0.15679837362329224,0.7505607181727676,0.534782196070988,0.2932004370663053,0.06884256376726683,5.928865106165667e-105,2.3756488171197336e-99,Naive/MemT
ENSG00000100100,PIK3IP1,1,0.2259190370745897,1.300343453387983,0.6523203947992787,0.34633140229212944,0.11630207603625749,1.499909435149887e-176,6.010017113890786e-171,Naive/MemT
ENSG00000228253,MT-ATP8,1,0.15161758877985884,11.577999782850977,0.9833444054284901,0.15418564232720866,0.07082044118672595,6.279762120004264e-108,2.5162504433887486e-102,Naive/MemT
ENSG00000198840,MT-ND3,1,0.1555464292922545,16.37577889161452,0.9960614975799563,0.15616147162617178,0.06998929869152895,1.117362609918884e-106,4.4771825889361745e-101,Naive/MemT
ENSG00000198727,MT-CYB,1,0.1597437445431387,28.696665908823263,0.9996678371452975,0.159796823112076,0.09975640242059287,1.542976388740311e-151,6.182582951571327e-146,Naive/MemT
ENSG00000119535,CSF3R,2,0.4428282884386807,1.6471071616709694,0.7257597684515196,0.6101582199623696,0.2964750450950426,0,0,MDSC
ENSG00000163131,CTSS,2,0.31350542562926115,5.340722576702752,0.9138929088277858,0.34304394158324536,0.31751387244238033,0,0,MDSC
ENSG00000163191,S100A11,2,0.2909028418939225,5.77336589077565,0.9243125904486251,0.3147234441031791,0.34840999290455504,0,0,MDSC
ENSG00000163220,S100A9,2,0.6936301095979817,36.31774485382743,0.9538350217076701,0.727201343851017,0.6199914804065066,0,0,MDSC
ENSG00000163221,S100A12,2,0.6595381153261556,6.603248221614871,0.8280752532561505,0.7964712297979264,0.4613683373349068,0,0,MDSC
ENSG00000143546,S100A8,2,0.7504658939052172,78.17240640871269,0.9522431259044862,0.788103241167941,0.6378861533012211,0,0,MDSC
ENSG00000197956,S100A6,2,0.3325638975011387,22.690706843041536,0.967438494934877,0.3437571476040192,0.3345169555816096,0,0,MDSC
ENSG00000163563,MNDA,2,0.4022793836121817,1.6235683321533603,0.6975397973950795,0.5767117304481693,0.2751912889702681,1.551882e-317,6.218266752876e-312,MDSC
ENSG00000018280,SLC11A1,2,0.3159001742352016,1.3038233027485027,0.6331403762662807,0.49894176090634135,0.2045268406782921,1.3415049087289297e-235,5.375302848884123e-230,MDSC
ENSG00000121552,CSTA,2,0.4608851938443052,2.052849313899115,0.7885672937771346,0.5844589263101759,0.35509712558549406,0,0,MDSC
ENSG00000038427,VCAN,2,0.6359089868048862,4.311126563648555,0.8564399421128799,0.7425027203145933,0.47844322924985083,0,0,MDSC
ENSG00000170458,CD14,2,0.5556272329635958,2.0474591300095173,0.7256150506512301,0.7657327841600413,0.33891190030919893,0,0,MDSC
ENSG00000204472,AIF1,2,0.2951857656295442,6.235651081657248,0.9293777134587554,0.3176165743538073,0.42524327799180167,0,0,MDSC
ENSG00000221869,CEBPD,2,0.35455125069470284,1.832946520176536,0.7493487698986976,0.4731458366744682,0.2531972456395135,5.79755739301213e-292,2.323034866920816e-286,MDSC
ENSG00000085265,FCN1,2,0.4182465972741585,4.831119827341044,0.8900144717800289,0.4699323556364936,0.45569810311297704,0,0,MDSC
ENSG00000066336,SPI1,2,0.2925083729957157,3.1862901363348675,0.8710564399421129,0.33580874852972176,0.3361551144401811,0,0,MDSC
ENSG00000245532,NEAT1,2,0.3537183856262937,8.213532109838642,0.9587554269175108,0.36893495014002864,0.40258151475025544,0,0,MDSC
ENSG00000121316,PLBD1,2,0.3242557322029501,0.8782215340686013,0.5102749638205499,0.6354529522184871,0.17513878636355348,1.0333967438074337e-201,4.140738080696882e-196,MDSC
ENSG00000123384,LRP1,2,0.31048539654475993,0.8060863053642876,0.5470332850940666,0.5675804471228283,0.1772780175857371,3.5583297606262464e-204,1.425794268444852e-198,MDSC
ENSG00000090382,LYZ,2,0.594548449952732,18.87604423814808,0.9593342981186685,0.6197510618756039,0.6290654732205272,0,0,MDSC
ENSG00000185215,TNFAIP2,2,0.37135255324602473,1.2968035369025017,0.6602026049204052,0.5624827143643207,0.24311063106154415,2.9488881377291917e-280,1.1815958856829852e-274,MDSC
ENSG00000011600,TYROBP,2,0.317779791390817,11.004474349818127,0.9499276410998553,0.334530523843776,0.3998730252372463,0,0,MDSC
ENSG00000171051,FPR1,2,0.33424789930967636,1.0371590333476046,0.5952243125904486,0.5615494734329841,0.20985589831318147,9.35449101973725e-242,3.7482697156805585e-236,MDSC
ENSG00000100300,TSPO,2,0.376402170476021,4.805736368776132,0.9124457308248914,0.4125200631228081,0.3351004361956975,0,0,MDSC
ENSG00000025708,TYMP,2,0.31717179770017007,2.7050991913202695,0.8416787264833574,0.3768323800048444,0.29094359046183954,0,0,MDSC
ENSG00000163534,FCRL1,3,0.3118636118699686,0.4404813842509577,0.37684943429068757,0.8275549423524109,0.1801085071942964,2.254175886072297e-144,9.032302441420809e-139,B
ENSG00000116191,RALGPS2,3,0.2939304309872805,0.8168639320788912,0.5426457789382071,0.5416616923887495,0.22004951247350774,3.2569534387384035e-176,1.3050351872749684e-170,B
ENSG00000153064,BANK1,3,0.349913178502918,0.9885294213326404,0.6127067014795474,0.5710940938918363,0.29066273045475743,9.759097168808897e-233,3.9103921627643747e-227,B
ENSG00000019582,CD74,3,0.30298374063548,67.17453353612146,0.9973890339425587,0.30377689178897604,0.57607717233166,0,0,B
ENSG00000112149,CD83,3,0.36179331394434666,2.9076112067000675,0.7928633594429939,0.45631231363562497,0.2837911693294376,3.185517074546424e-227,1.2764112076341558e-221,B
ENSG00000204287,HLA-DRA,3,0.3173573596237847,14.113176794131574,0.9773716275021758,0.32470490312353395,0.4922317763112926,0,0,B
ENSG00000196126,HLA-DRB1,3,0.2675558493380694,9.930675181180124,0.9825935596170583,0.2722955455176632,0.43681778946558386,0,0,B
